src,code,name,lat,lon,alt,routes,remarks,city,sector,source
IFR,ABETO,ABETO,40.4297222,-8.0563889,0,"UN726, UN872",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ABLEG,ABLEG,40.7227778,-8.4311111,0,,"FRA (I), FRA (A): LPPR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ABRAT,ABRAT,39.8216667,-7.6541667,0,UN745,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ABRIL,ABRIL,40.3961111,-8.5802778,0,,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ABUPI,ABUPI,41.7511111,-7.2361111,0,UN872,"FRA (E): ODD FL, MADRID/LISBOA ACC, Above FL245",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ADINO,ADINO,40.0177778,-6.3736111,0,,"FRA (E): ODD FL, LECM FIR, MADRID/LISBOA ACC Above FL245",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ADNOV,ADNOV,41.5183333,-8.7530556,0,,"FRA (I), Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ADORO,ADORO,41.4830556,-6.28,0,"A43, UL155","FRA (E): ODD FL, FRA (X): EVEN FL, LISBOA/MADRID FIR BDRY",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ADSAD,ADSAD,38.4780556,-8.9811111,0,,"FRA (I), LISBOA TMA, Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,AIREZ,AIREZ,39.4547222,-8.6661111,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,AKABO,AKABO,41.3219444,-8.7008333,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,AKUDA,AKUDA,35.9666667,-8.95,0,"W13, UN858, UZ1","FRA (E): EVEN / NORTHBOUND, LISBOA/CASABLANCA FIR BDRY",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,AKULU,AKULU,40.9841667,-8.6119444,0,,FRA (I) / Holding Pattern,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ALAGU,ALAGU,38.0886111,-7.6144444,0,"W13, A44, Z222, UL14, UM744, UZ222","FRA (I), FRA (AD): LPFR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ALAMA,ALAMA,39.2233333,-8.55,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ATECA,ATECA,38.6583333,-8.6225,0,"A975, UN975, UZ218",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,BABEX,BABEX,41.0402778,-7.0838889,0,"UN976, UZ15, UZ218",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,BABOV,BABOV,39.8763889,-6.8736111,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,BARDI,BARDI,40.5836111,-6.3025,0,,"FRA (E): ODD FL, FRA (X): EVEN FL, TCP MADRID/LISBOA ACC Above FL245",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,BIRBA,BIRBA,39.1055556,-7.5119444,0,"A975, UN873, UN975, UZ15, UZ222",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,BOMKO,BOMKO,38.9536111,-9.0436111,0,,NIL / LISBOA TMA,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,BUSEN,BUSEN,38.545,-10.0,0,"A44, UM744, UN870, UZ21, UZ22",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,CANAR,CANAR,41.3858333,-7.4697222,0,"A43, G41, UL155, UN872",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,CASLU,CASLU,38.54,-9.81,0,,FRA (I) / Holding Pattern,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,CEFOX,CEFOX,38.5516667,-9.4027778,0,,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,COCUN,COCUN,39.0266667,-9.0686111,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,DEKKI,DEKKI,38.9630556,-8.6955556,0,,FRA (I) / Holding Pattern,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,DEKUS,DEKUS,38.0152778,-10.0,0,UN745,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,DIGAL,DIGAL,39.7408333,-7.9897222,0,"UN726, UZ218, UZ222",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,DIKMO,DIKMO,40.7233333,-7.8858333,0,,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,DIVUT,DIVUT,41.0286111,-8.3258333,0,,"FRA (I), Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,DUZOP,DUZOP,37.6697222,-8.6516667,0,,"FRA (ID): LPPT, LPCS",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,EKLID,EKLID,39.1425,-9.2636111,0,,FRA (I) / Holding Pattern,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,EKMAR,EKMAR,38.5575,-9.5213889,0,Y207,"FRA (I), Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,EKPER,EKPER,38.4230556,-10.0,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ELDUK,ELDUK,37.8111111,-7.9405556,0,"R72, UN726",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ELGIX,ELGIX,41.5211111,-7.6730556,0,,"FRA (I), FRA (A): LPPR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ELNUB,ELNUB,39.0822222,-10.6711111,0,,FRA (ID): LPPT,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ELVAR,ELVAR,39.2194444,-7.2233333,0,"A975, Z219, UL14, UN975, UN979, UZ219","FRA (I), MADRID/LISBOA FIR BDRY below FL245",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,EMPAD,EMPAD,38.8955556,-9.0552778,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ERUKU,ERUKU,38.7925,-8.9830556,0,,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ERTIS,ERTIS,37.4166667,-7.6147222,0,"UZ222, Y105, Z222",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,GEBTI,GEBTI,36.9727778,-7.6752778,0,,FRA (I) / Holding Pattern,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,GENRO,GENRO,37.1930556,-7.6147222,0,"Y105, Y136","FRA (I), FRA (A): LPFR / Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,GIMAL,GIMAL,36.7644444,-8.0058333,0,Y103,"FRA (I), FRA (AD): LPFR / Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,INBOM,INBOM,40.0019444,-8.3019444,0,,,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,IXOLI,IXOLI,36.9763889,-8.7016667,0,,"FRA (I), FRA (AD): LPFR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,KELIK,KELIK,38.4919444,-9.0063889,0,,NIL / LISBOA TMA,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,KIZEV,KIZEV,37.5769444,-8.1677778,0,,FRA (I),,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,LASIB,LASIB,38.0375,-7.2227778,0,UM744,"FRA (X): ODD FL, FRA (E): EVEN FL, TCP MADRID/LISBOA ACC Above FL245",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,LATRU,LATRU,37.0,-10.0,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,LAVPA,LAVPA,41.0033333,-9.1294444,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,LAZET,LAZET,38.9238889,-10.6711111,0,,"FRA (IA): LPPT, LPCS / Holding Pattern",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,LERLI,LERLI,39.215,-9.0361111,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,LIGRA,LIGRA,38.0,-9.5908333,0,"G52, UN872","FRA (I), FRA (A): LPPT",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,MARIM,MARIM,37.4166667,-7.8411111,0,W13,"FRA (I), FRA (A): LPFR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,NIRAK,NIRAK,37.2458333,-7.4286111,0,Y136,MADRID/LISBOA FIR BDRY,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,NOKSO,NOKSO,37.0838889,-8.9463889,0,,FRA (I) / Holding Pattern,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,OBOLO,OBOLO,36.5313889,-8.1325,0,"UL14, UN858",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ODEMI,ODEMI,37.4975,-8.3838889,0,"A5, Y101","FRA (I), FRA (AD): LPFR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ODPAK,ODPAK,38.1283333,-7.9266667,0,"A44, R72, UM744, UN726, UN979, UZ7, UZ15",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,OGERO,OGERO,39.8016667,-6.4005556,0,,"FRA (X): EVEN FL, LECM FIR, TCP MADRID/LISBOA ACC Above FL245",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,OKARI,OKARI,36.4486111,-8.1591667,0,,"FRA (I), FRA (D): LPFR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,OKNIB,OKNIB,38.7022222,-9.1786111,0,,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,OLBOD,OLBOD,38.1438889,-10.6711111,0,,FRA (ID): LPPT,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,OLGAR,OLGAR,39.1833333,-7.9363889,0,"B60, R72",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ORVED,ORVED,39.3833333,-7.6519444,0,,"FRA (ID): LPPT, LPCS",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,OSLAD,OSLAD,35.9666667,-8.3141667,0,"R724, UL14","FRA (X): ODD FL / SOUTHBOUND, FRA (E): EVEN FL / NORTHBOUND, LISBOA/CASABLANCA FIR BDRY",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,OTREG,OTREG,41.2730556,-8.6877778,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,PINOX,PINOX,40.2905556,-7.1091667,0,"G52, UN745, UZ15",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,PIREN,PIREN,36.8333333,-7.3833333,0,"UZ5, W1","FRA (EX), FRA (X): EVEN FL",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ROKOB,ROKOB,38.8530556,-9.0975,0,,NIL / LISBOA TMA,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ROKTE,ROKTE,36.5827778,-8.3386111,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ROMEP,ROMEP,39.0652778,-8.7205556,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ROSAL,ROSAL,38.0213889,-7.1013889,0,"A44, Z227, UM744, UZ227",NIL / MADRID/LISBOA FIR BDRY,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,RUWIB,RUWIB,37.0572222,-8.2691667,0,,,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,SONAP,SONAP,36.5,-10.0,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,SOTEX,SOTEX,38.2927778,-8.22,0,"W7, UN873, UP600, UZ223","FRA (I), FRA (AD): LPFR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,SUNES,SUNES,37.3075,-9.0,0,UN873,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,TAGUX,TAGUX,38.9455556,-7.9141667,0,"A975, R72, UN726, UN975",FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,TERVA,TERVA,40.4166667,-9.5911111,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,TUPIX,TUPIX,37.0761111,-7.3833333,0,,"FRA (EX), FRA (AD): LPFR, MADRID/LISBOA FIR BDRY",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,TURON,TURON,42.0680556,-8.5633333,0,"A5, UP600",NIL / LISBOA/MADRID FIR BDRY,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,UBANI,UBANI,41.5577778,-9.2394444,0,,"FRA (I), FRA (AD): LPPR",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,UBESO,UBESO,36.7475,-7.8138889,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,UDRUB,UDRUB,41.4241667,-8.7275,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,YETSI,YETSI,38.3216667,-8.8952778,0,,NIL / LPPT Holding Pattern,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ZACRA,ZACRA,38.3466667,-9.1063889,0,,FRA (I) / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ZEFFI,ZEFFI,38.3625,-9.3577778,0,,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ZEZZU,ZEZZU,38.6347222,-9.3222222,0,,NIL / NIL,,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
IFR,ZIFOG,ZIFOG,38.6963889,-10.6711111,0,,"FRA (ID): LPPT, LPCS",,,NAV Portugal eAIP ENR 4.4 visible extract 2026-03-19
